"Department for Children, Schools and Families","11398","Department for Education","11424","DCSF",,,
"Department for Business, Innovation and Skills","11399",,,"BIS","transparency@bis.gsi.gov.uk","http://www.bis.gov.uk/",""
"Ministry of Justice","11400",,,"MOJ",,,
"Department for Communities and Local Government","11401",,,"DCLG",,,
"Home Office","11402",,,"HO",,,
"Department for Environment, Food and Rural Affairs","11403",,,"DEFRA",,,
"Ministry of Defence","11404",,,"MOD",,,
"Department of Energy and Climate Change","11405",,,"DECC",,,
"Department for Transport","11406",,,"DfT",,,
"Cabinet Office","11407",,,"CO",,,
"Office for National Statistics","11408",,,"ONS",,,
"Department for Work and Pensions","11409",,,"DWP",,,
"Department of Health","11410",,,"DH",,,
"Sunderland City Council","11411","Local Authorities","12493","Sunderland CC",,,
"Her Majesty's Revenue and Customs","11412",,,"HMRC",,,
"Welsh Government","11413",,,"Wales",,,
"Scottish Government","11414",,,"Scotland",,,
"Northern Ireland Executive","11415",,,"N. Ireland",,,
"Northern Ireland Office","11416",,,"NIO",,,
"Lichfield District Council","11417","Local Authorities","12493","Lichfield DC",,,
"Her Majesty's Treasury","11418",,,"HMT",,,
"Department for Culture, Media and Sport","11419",,,"DCMS",,,
"DirectGov","11420","Cabinet Office","11407","DG",,,
"Department for International Development","11421",,,"DfID",,,
"Chartered Institute of Public Finance and Accountancy","11423",,,"CIPFA",,,
"Department for Education","11424",,,"DfE",,"http://www.education.gov.uk/","www.education.gov.uk/"
"Care Quality Commission","11425","National Health Service","11567","CQC",,"http://www.cqc.org.uk/","cqc.org.uk"
"London Borough of Brent","11426","Local Authorities","12493","LB Brent",,,
"Bournemouth Borough Council","11427","Local Authorities","12493","Bournemouth BC",,,
"Warwickshire County Council","11428","Local Authorities","12493","Warks CC",,,
"Hampshire County Council","11429","Local Authorities","12493","Hants CC",,,
"Borough of Broxbourne","11430","Local Authorities","12493","BB",,,
"East Staffordshire Borough Council","11431","Local Authorities","12493","East Staffs BC",,,
"Walsall Council","11432","Local Authorities","12493","Walsall C",,,
"Foreign and Commonwealth Office","11433",,,"FCO",,,
"London Borough of Bromley","11434","Local Authorities","12493","LB Bromley",,,
"London Borough of Richmond Upon Thames","11435","Local Authorities","12493","LB Richmond",,,
