Agency text,Corrected name,Parent organisation
 Newcastle PCT,Newcastle Primary Care Trust,National Health Service
 NHS Information Centre Health and Social Care Information Centre,NHS Information Centre for Health and Social Care,National Health Service
2gether NHS Foundation Trust,,National Health Service
Acas,"Advisory, Conciliation and Arbitration Service (Acas)","Department for Business, Innovation and Skills"
Advantage West Midlands,,"Department for Business, Innovation and Skills"
"Advisory, Conciliation and Arbitration Service (Acas)",,"Department for Business, Innovation and Skills"
Airedale NHS Foundation Trust,,National Health Service
Alder Hey Children's NHS Foundation Trust,,National Health Service
Animal Health,,"Department for Environment, Food and Rural Affairs"
Appointments Commision,Appointments Commission,Department of Health
Appointments Commission,,Department of Health
Ashford and St. Peter's Hospitals NHS Trust,,National Health Service
Avon and Wiltshire Mental Health Partnership NHS Trust,,National Health Service
Barnet Primary Care Trust,,National Health Service
Barnsley Primary Care Trust,,National Health Service
Barts and The London NHS Trust,,National Health Service
Berkshire East Primary Care Trust,,National Health Service
Birmingham and Solihull Mental Health Foundation Trust,,National Health Service
Birmingham Children's NHS Foundation Trust,,National Health Service
Blackburn with Darwen Care Trust Plus,,National Health Service
"Blackpool, Fylde & Wyre Hospitals NHS Foundation Trust",,National Health Service
Bradford District Care Trust,,National Health Service
Brighton and Sussex University Hospitals NHS Trust,,National Health Service
British Educational Communications and Technology Agency,,Department for Education
British Transport Police Authority,,Department for Transport
Buckinghamshire Healthcare NHS Trust,,National Health Service
Burton Hospitals NHSFT,,National Health Service
Buying Solutions,,Cabinet Office
Calderstones Partnership NHS Foundation Trust,,National Health Service
CCRC,Criminal Cases Review Commission,Ministry of Justice
CEFAS,"Centre for Environment, Fisheries & Aquaculture Science","Department for Environment, Food and Rural Affairs"
Central and Eastern Cheshire Primary Care NHS Trust,,National Health Service
Central and Eastern Cheshire Primary Care Trust,Central and Eastern Cheshire Primary Care NHS Trust,National Health Service
Charity Commission,,
Children and Family Court Advisory and Support Service,,Department for Education
Children's Workforce Development Council (CWDC),Children's Workforce Development Council,Department for Education
CIB - Company Investigation Brancch,Companies Investigation Branch,"Department for Business, Innovation and Skills"
CICA,Criminal Injuries Compensation Authority,Ministry of Justice
CITB-ConstructionSkills,Construction Industry Training Board,"Department for Business, Innovation and Skills"
COI,Central Office of Information,Cabinet Office
Colchester Hospital University NHS Foundation Trust,,National Health Service
Commission for Architecture and the Built Environment (CABE) ,Commission for Architecture and the Built Environment,"Department for Culture, Media and Sport"
Commission for Rural Communities,,"Department for Environment, Food and Rural Affairs"
Cornwall and Isles of Scilly Community Health Services,,National Health Service
Cornwall Partnership NHS Foundation Trust,,National Health Service
Council for Healthcare and Regulatory Excellence,Council for Healthcare Regulatory Excellence,Department of Health
Counsumer Council for Water,Consumer Council for Water,"Department for Environment, Food and Rural Affairs"
County Durham Primary Care Trust,,National Health Service
Coventry & Warwickshire Partnership NHS Trust,,National Health Service
Coventry PCT,Coventry Primary Care Trust,National Health Service
CRB,Criminal Records Bureau,Home Office
Criminal Records Bureau,,Home Office
Cumbria PCT,Cumbria Primary Care Trust,National Health Service
Darlington Primary Care Trust,,National Health Service
DARTFORD & GRAVESHAM NHS TRUST,Dartford and Gravesham NHS Trust,National Health Service
Dartford and Gravesham NHS Trust,,National Health Service
Defence Analytical Services and Advice,Ministry of Defence,
Derbyshire Community Health Services,,National Health Service
Derbyshire Mental Health Services Trust,,National Health Service
Devon Partnership NHS Trust,,National Health Service
Directly Operated Railways,,Department for Transport
Dudley and Walsall Mental Health Partnership NHS Trust,,National Health Service
Dudley Group of Hospitals NHS Foundation Trust,,National Health Service
Dudley Primary Care Trust,,National Health Service
Ealing PCT,Ealing Primary Care Trust,National Health Service
East Cheshire NHS Trust,,National Health Service
East Lancashire Hospitals NHS Trust,,National Health Service
East Midlands Ambulance Services NHS Trust,,National Health Service
East Midlands Strategic Health Authority,,National Health Service
East Sussex Hospitals NHS Trust,,National Health Service
Energy Saving Trust ,,Private Sector
Enfield PRimary Care Trust,Enfield Primary Care Trust,National Health Service
Enfield Primary Care Trust,,National Health Service
Engineering and Physical Sciences Research Council,,"Department for Business, Innovation and Skills"
English Heritage,,"Department for Culture, Media and Sport"
Environment Agency,,"Department for Environment, Food and Rural Affairs"
Environment Agency,,"Department for Environment, Food and Rural Affairs"
Environment Agency,,"Department for Environment, Food and Rural Affairs"
Environment Agency,,"Department for Environment, Food and Rural Affairs"
Epsom and St Helier University Hospitals NHS Trust,,National Health Service
Equality and Human Rights Commission,,Government Equalities Office
FCO Services,,Foreign and Commonwealth Office
FERA,,"Department for Environment, Food and Rural Affairs"
FERA,,"Department for Environment, Food and Rural Affairs"
Fire Service College,,Department for Communities and Local Government
Firebuy,,Department for Communities and Local Government
Gambling Commission,,"Department for Culture, Media and Sport"
Gangmasters Licensing Authority,,"Department for Environment, Food and Rural Affairs"
Gateshead Primary Care Trust,,National Health Service
General Social Care Council,,National Health Service
Government Offices,,Department for Communities and Local Government
Great Western Ambulance Service NHS Trust,,National Health Service
Great Yarmouth and Waveney PCT,Great Yarmouth and Waveney Primary Care Trust,National Health Service
Guys and St Thomas NHS Foundation Trust,,National Health Service
Hampshire PCT,Hampshire Primary Care Trust,National Health Service
Health and Social Care Information Centre,NHS Information Centre for Health and Social Care,National Health Service
Health and Social Care Information Centre,NHS Information Centre for Health and Social Care,National Health Service
Her Majesty's Inspectorate of Constabulary,NHS Information Centre for Health and Social Care,National Health Service
Hereford Hospitals NHS Trust,,National Health Service
Herefordshire Primary Care Trust,,National Health Service
High Speed 2,,Private Sector
Higher Education Statistics Agency,,"Department for Business, Innovation and Skills"
Highways Agency,,Department for Transport
HM Courts Service,,Ministry of Justice
HM Land Registry,,Ministry of Justice
HMIC,HM Inspectorate of Constabulary,Home Office
Horniman Public Museum & Public Park Trust,,"Department for Culture, Media and Sport"
Horserace Betting Levy Board,,"Department for Culture, Media and Sport"
Housing and Communities Agency,,Department for Communities and Local Government
Hull and East Yorkshire Hospitals NHS Trust,,National Health Service
Human Tissue Authority,,Department of Health
ICO,Information Commissioner's Office,Ministry of Justice
Identity & Passport Service,,Home Office
Identity and Passport Service,Identity & Passport Service,Home Office
Imperial College Healthcare NHS Trust,,National Health Service
Independent Living Fund,,Department for Work and Pensions
Independent Police Complaints Commission,,Home Office
Independent Safeguarding Authority,,Home Office
Information Centre for Health and Social Care,NHS Information Centre for Health and Social Care,National Health Service
